split,method_norm,accuracy_12feat,f1_macro_12feat,f1_entailment_12feat,f1_neutral_12feat,f1_contradiction_12feat,accuracy_16feat,f1_macro_16feat,f1_entailment_16feat,f1_neutral_16feat,f1_contradiction_16feat,accuracy_delta_16_minus_12,f1_macro_delta_16_minus_12,f1_entailment_delta_16_minus_12,f1_neutral_delta_16_minus_12,f1_contradiction_delta_16_minus_12
trglue_mnli::test_matched,Meta_FlatLSTM,0.8465808170515098,0.8464462426493308,0.8505640550146809,0.838809564768622,0.8499651081646895,0.8500222024866785,0.849986720931632,0.8514118191637093,0.8426501035196687,0.8558982401115177,0.003441385435168698,0.003540478282301196,0.0008477641490284293,0.0038405387510467293,0.005933131946828207
trglue_mnli::test_matched,Meta_LinearSVC,0.8392539964476021,0.8390479624744859,0.8449781659388647,0.8266344661031568,0.8455312553814363,0.8390319715808171,0.8388126537131021,0.8452900810979413,0.8259220958290244,0.8452257842123406,-0.00022202486678501998,-0.00023530876138377899,0.0003119151590766922,-0.0007123702741324012,-0.000305471169095628
trglue_mnli::test_matched,Meta_MLP,0.8481349911190054,0.8480981176106465,0.8497457235321313,0.84,0.8545486292998079,0.8502442273534636,0.8501784401726087,0.8522114347357066,0.8427238161078465,0.8556000696742728,0.002109236234458245,0.0020803225619622223,0.002465711203575305,0.002723816107846555,0.0010514403744649181
trglue_mnli::test_matched,Qwen,0.8156083481349912,0.8149914826526845,0.8230816077953715,0.7987024689133178,0.8231903712493643,0.8156083481349912,0.8149914826526845,0.8230816077953715,0.7987024689133178,0.8231903712493643,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_matched,Weighted_static_hand_weights,0.8138321492007105,0.8123139614442669,0.8223865448745832,0.7816222348269994,0.8329331046312178,0.8138321492007105,0.8123139614442669,0.8223865448745832,0.7816222348269994,0.8329331046312178,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_matched,mDeBERTa,0.7965142095914742,0.7934750701224781,0.8260869565217391,0.7508506616257089,0.8034875922199866,0.7965142095914742,0.7934750701224781,0.8260869565217391,0.7508506616257089,0.8034875922199866,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_mismatched,BERT,0.7251817294130412,0.7076769165670805,0.7730763859796118,0.5737596471885337,0.7761947165330959,0.7251817294130412,0.7076769165670805,0.7730763859796118,0.5737596471885337,0.7761947165330959,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_mismatched,Class_conditional_routing_computed,0.8267332103721384,0.8231290947585107,0.8894960534304797,0.7638282387190685,0.8160629921259842,0.8267332103721384,0.8231290947585107,0.8894960534304797,0.7638282387190685,0.8160629921259842,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_mismatched,Gemma,0.4175979168926982,0.3698425496684013,0.521068128744035,0.2352643561851758,0.3531951640759931,0.4175979168926982,0.3698425496684013,0.521068128744035,0.2352643561851758,0.3531951640759931,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_mismatched,Majority_vote,0.8065531083866768,0.7995670821025965,0.8239659200219871,0.7225280326197757,0.8522072936660269,0.8065531083866768,0.7995670821025965,0.8239659200219871,0.7225280326197757,0.8522072936660269,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_mismatched,Meta_BiLSTM,0.8998589562764457,0.8993843888979521,0.908271144278607,0.8776241679467486,0.9122578544685008,0.9034392969512856,0.9028882421126662,0.9131313131313132,0.8809605488850771,0.914572864321608,0.0035803406748398103,0.0035038532147140256,0.004860168852706237,0.0033363809383285536,0.002315009853107175
trglue_mnli::test_mismatched,Meta_FlatLSTM,0.9005099273082348,0.900010740626986,0.9097135740971356,0.8784823107161169,0.9118363370677058,0.9013778886839536,0.9008128665483696,0.9115414407436097,0.878969957081545,0.9119272018199543,0.0008679613757188731,0.0008021259213835119,0.0018278666464740523,0.0004876463654280849,9.086475224850954e-05
trglue_mnli::test_mismatched,Meta_LinearSVC,0.8964956059455355,0.895963856662313,0.9058141357154053,0.8731623931623932,0.9089150411091408,0.8962786156016057,0.8957405571807008,0.9057550572369452,0.8725222146274778,0.9089443996776791,-0.00021699034392974603,-0.0002232994816122602,-5.907847846009506e-05,-0.000640178534915381,2.9358568538362384e-05
trglue_mnli::test_mismatched,Meta_MLP,0.8999674514484105,0.8994803256071213,0.908271144278607,0.8786582235153175,0.9115116090274396,0.9030053162634264,0.9024598585870164,0.9121611154144076,0.8815540656695892,0.913664394677053,0.0030378648150158893,0.002979532979895061,0.003889971135800585,0.002895842154271633,0.002152785649613409
trglue_mnli::test_mismatched,Qwen,0.8767494846479331,0.8755823265792007,0.8894960534304797,0.8496428571428571,0.8876080691642652,0.8767494846479331,0.8755823265792007,0.8894960534304797,0.8496428571428571,0.8876080691642652,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_mismatched,Weighted_static_hand_weights,0.8699142888141478,0.8678134926867841,0.8799301411730461,0.8319013821441913,0.8916089547431149,0.8699142888141478,0.8678134926867841,0.8799301411730461,0.8319013821441913,0.8916089547431149,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_mismatched,mDeBERTa,0.8424650103070414,0.838739026848104,0.8755199049316696,0.7868173258003767,0.8538798498122653,0.8424650103070414,0.838739026848104,0.8755199049316696,0.7868173258003767,0.8538798498122653,0.0,0.0,0.0,0.0,0.0
